city,latitude,longitude
ALLEN LAKE SCHOOL,42.82591,-74.93599
ALLEN MEMORIAL CHURCH OF GOD,40.91538,-73.83513
ALLEN MOUNTAIN,44.07089,-73.93959
ALLEN PARK,42.08284,-79.22144
ALLEN POND,42.56422,-75.30583
ALLEN POND,44.34387,-74.99942
ALLEN POND OUTLET,44.32728,-75.01047
ALLEN LAKE,42.82962,-74.95161
TOWN OF ALLEN,42.39138,-78.0151
ALLENDALE,43.78062,-76.01659
ALLENDALE ELEMENTARY SCHOOL,42.81254,-78.76636
ALLENDALE COLUMBIA SCHOOL,43.1175,-77.5385
ALLENS BAY,44.74393,-73.41097
ALLENS CORNERS,42.87284,-77.95056
ALLENS CREEK,42.72729,-77.84139
ALLEN ROAD ELEMENTARY SCHOOL,43.13267,-76.15699
ALLENS HILL,42.83673,-77.52055
ALLENS POINT,42.82868,-76.70134
ALLENS POINT,44.45506,-75.76802
ALLENTOWN,42.08368,-78.06445
ALLENTOWN,43.32507,-73.95485
ALLENTOWN CEMETERY,42.08229,-78.06501
ALLENTOWN CEMETERY,42.23313,-76.01631
ALLENTOWN CREEK,43.30979,-73.95263
ALLENS HILL,42.8409,-77.51499
ALLEY CREEK,40.77066,-73.75597
ALLENWOOD PARK,40.79566,-73.72235
ALLIANCE CHURCH,43.16451,-77.68723
ALLIGATOR POND,43.67893,-73.82751
ALLIGERVILLE,41.79593,-74.17903
ALLIS HILL,43.08785,-75.79991
ALLISON PARK,40.63705,-74.10125
ALLOWAY,43.02367,-76.98858
LAKE ALLURE,43.36674,-73.78707
ALMA,42.01257,-78.05778
ALMA HILL,42.04951,-78.01223
TOWN OF ALMA,42.04295,-78.01509
ALMOND,42.32229,-77.73833
ALMOND LAKE,42.3463,-77.71288
TOWN OF ALMOND,42.34491,-77.78653
ALOQUIN,42.8609,-77.14497
ALPINA,44.16923,-75.42659
ALPINE,42.31313,-76.72412
ALPINE JUNCTION,42.29369,-76.71023
ALPLAUS,42.85535,-73.89901
ALPLAUS KILL,42.85119,-73.90401
ALLEY PARK,40.74705,-73.74041
THE ALPS,43.01784,-76.35104
ALSEN,42.15814,-73.9193
ALTA LAKE,41.72736,-74.64596
ALTAMONT,42.70063,-74.03374
ALTAMONT RESERVOIR,42.68569,-74.07424
LAKE ALTAMONT,41.5321,-74.48816
ALTAY,42.43952,-77.01997
ALTMAR,43.51007,-76.00214
ALTON,43.21118,-76.98052
MOUNT ALTON,44.37171,-73.96626
ALTONA,44.88837,-73.6557
ALTONA CENTRAL SCHOOL,44.89226,-73.65875
TOWN OF ALTONA,44.84963,-73.66613
ALTRO PARK,43.16145,-78.69475
ALUMINUM POND,43.76886,-74.52629
ALUMNI GYMNASIUM,40.85649,-73.91125
ALUMNI HALL,40.89066,-73.90125
ALVERSON,43.94784,-76.02409
JOHN A SCIOLE ELEMENTARY SCHOOL,42.92421,-78.70418
AMAGANSETT,40.97371,-72.14369
AMAGANSETT BEACH,40.96399,-72.13647
AMAGANSETT GUN CLUB,41.06677,-71.88923
AMASA MOUNTAIN,43.66007,-73.7279
AMAWALK,41.28843,-73.76624
AMAWALK FRIENDS MEETING HOUSE,41.29259,-73.77152
AMAWALK HILL CEMETERY,41.29259,-73.77236
AMAWALK POST OFFICE,41.28726,-73.76632
AMAWALK RESERVOIR,41.29732,-73.74681
AMBER,42.88729,-76.2966
AMBER BROOK,42.88979,-76.30049
ALPLAUS SCHOOL (HISTORICAL),42.8573,-73.90957
AMBER LAKE,44.39927,-74.61964
AMBER LAKE,41.6887,-74.8486
AMBER LAKE,41.94964,-74.85929
AMBLERS CROSSING,42.67341,-75.26267
AMBLERVILLE,42.54119,-75.3999
AMBOY,43.06951,-76.27243
AMBOY CENTER,43.36896,-75.94186
AMBOY STATION,43.08451,-76.28298
TOWN OF AMBOY,43.37925,-75.93112
AMBREYS POND,41.24877,-74.01465
AMDUR PARK LAKE,41.35425,-74.16505
AMEND HALL,40.92538,-73.7868
AMENIA,41.84926,-73.55679
AMENIA UNION,41.82454,-73.50512
TOWN OF AMENIA,41.82433,-73.55343
AMERICAN BANK NOTE COMPANY (HISTORICAL),40.81677,-73.89125
AMERICAN FALLS,43.08512,-79.07066
AMERICAN INTERNATIONAL BUILDING,40.70621,-74.00736
AMERICAN ISLAND,44.54478,-75.72385
AMERICAN LEGION CAMP,41.61426,-74.41071
AMERICAN MUSEUM OF NATURAL HISTORY,40.78093,-73.97375
AMERICAN NARROWS,44.33338,-75.93079
AMERICAN TRACT SOCIETY BUILDING,40.71149,-74.0057
AMERSFORT PARK,40.62899,-73.93875
AMES,42.83757,-74.60153
AMES CEMETERY,42.83313,-74.60097
AMHERST,42.97839,-78.79976
AMHERST MIDDLE SCHOOL,42.9557,-78.79044
AMHERST CENTRAL HIGH SCHOOL,42.96222,-78.79009
TOWN OF AMHERST,43.0117,-78.75695
AMITY,41.26815,-74.45488
AMITY CHANNEL,40.6301,-73.44151
AMITY DUTCH REFORMED CHURCH,42.79674,-73.82623
AMITY HARBOR,40.66343,-73.39818
AMITY LAKE,42.21895,-77.98921
TOWN OF AMITY,42.21828,-78.017
AMITYVILLE,40.67899,-73.41707
AMITYVILLE CEMETERY,40.69566,-73.41734
AMITYVILLE CREEK,40.65705,-73.41262
AMBER CEMETERY,42.8959,-76.30326
EDMUND W MILES MIDDLE SCHOOL,40.69,-73.41833
AMITYVILLE MEMORIAL HIGH SCHOOL,40.67038,-73.41179
AMOS LAKE,43.50247,-74.6186
AMPERSAND BAY,44.32297,-74.15893
AMPERSAND BROOK,44.207,-74.31489
AMITYVILLE CUT,40.62093,-73.41623
AMPERSAND MOUNTAIN,44.25117,-74.18627
FRONTIER MIDDLE SCHOOL,42.73693,-78.89633
AMSTERDAM,42.93869,-74.18819
AMSTERDAM AIRFIELD,42.96022,-74.25137
AMSTERDAM GOLF COURSE,42.9648,-74.20791
CITY OF AMSTERDAM,42.94196,-74.1906
TOWN OF AMSTERDAM,42.95518,-74.16684
ANAQUASSACOOK,43.0748,-73.31233
ANAWANA LAKE,41.70035,-74.67599
